Trait 2	rg	se	z-score	p-value
BAS	0.126189	0.052017	2.42591845	0.01526970106
EOS	0.085407	0.055075	1.5507399	0.1209640285
HCT	0.050248	0.104838	0.4792918598	0.6317310123
HGB	0.023622	0.069316	0.3407871199	0.7332638475
LYM	0.106986	0.045801	2.335887863	0.0194970867
MCH	-0.22303	0.192781	-1.156908617	0.247309698
MCHC	-0.09909	0.146598	-0.6759300945	0.4990850295
MCV	-0.22002	0.174065	-1.264010571	0.2062262329
MON	0.078101	0.035085	2.226051019	0.02601076425
MPV	0.007811	0.031926	0.2446595252	0.8067200699
NEU	0.099334	0.03681	2.698560174	0.00696401467
PLT	-0.00545	0.14365	-0.03793943613	0.9697359702
RBC	0.183135	0.184961	0.9901276485	0.3221117308
RDW	0.111866	0.115914	0.9650775575	0.3345059668
WBC	0.114906	0.042915	2.677525341	0.007416824187
